Time(ms),Setpoint,Angle,ControlVoltage,PWM,Error,Integral,Derivative
20,180.00,0.00,10.02,213,180.00,3.60,9000.00
40,180.00,2.82,10.23,217,177.18,7.14,-141.18
60,180.00,8.82,10.30,218,171.18,10.57,-300.00
80,180.00,16.94,10.27,218,163.06,13.83,-405.88
100,180.00,25.41,10.21,216,154.59,16.92,-423.53
120,180.00,35.65,10.06,213,144.35,19.81,-511.76
140,180.00,45.88,9.89,210,134.12,22.49,-511.76
160,180.00,56.47,9.69,205,123.53,24.96,-529.41
180,180.00,67.41,9.45,200,112.59,27.21,-547.06
200,180.00,78.71,9.18,195,101.29,29.24,-564.71
220,180.00,89.29,8.92,189,90.71,31.05,-529.41
240,180.00,100.59,8.61,183,79.41,32.64,-564.71
260,180.00,111.53,8.24,175,68.47,33.33,-547.06
280,180.00,122.47,7.80,165,57.53,33.33,-547.06
300,180.00,133.06,7.38,156,46.94,33.33,-529.41
320,180.00,144.00,6.94,147,36.00,33.33,-547.06
340,180.00,154.94,6.50,138,25.06,33.33,-547.06
360,180.00,164.82,6.11,129,15.18,33.33,-494.12
380,180.00,175.06,5.70,121,4.94,33.33,-511.76
400,180.00,184.59,-2.69,57,-4.59,-0.09,-476.47
420,180.00,193.76,-3.08,65,-13.76,-0.37,-458.82
440,180.00,200.12,-3.37,71,-20.12,-0.77,-317.65
460,180.00,205.06,-3.62,76,-25.06,-1.27,-247.06
480,180.00,208.24,-3.79,80,-28.24,-1.84,-158.82
500,180.00,209.65,-3.90,82,-29.65,-2.43,-70.59
520,180.00,209.65,-3.96,84,-29.65,-3.02,0.00
540,180.00,208.94,-3.98,84,-28.94,-3.60,35.29
560,180.00,207.53,-3.97,84,-27.53,-4.15,70.59
580,180.00,205.41,-3.94,83,-25.41,-4.66,105.88
600,180.00,202.94,-3.88,82,-22.94,-5.12,123.53
620,180.00,199.76,-3.79,80,-19.76,-5.51,158.82
640,180.00,196.59,-3.69,78,-16.59,-5.84,158.82
660,180.00,193.06,-3.57,75,-13.06,-6.11,176.47
680,180.00,189.18,-3.43,72,-9.18,-6.29,194.12
700,180.00,185.65,-3.30,70,-5.65,-6.40,176.47
720,180.00,181.76,-3.15,66,-1.76,-6.44,194.12
740,180.00,177.88,2.59,55,2.12,0.04,194.12
760,180.00,174.35,2.74,58,5.65,0.16,176.47
780,180.00,172.24,2.84,60,7.76,0.31,105.88
800,180.00,171.18,2.90,61,8.82,0.49,52.94
820,180.00,171.18,2.91,61,8.82,0.66,0.00
840,180.00,171.53,2.91,61,8.47,0.83,-17.65
860,180.00,172.24,2.90,61,7.76,0.99,-35.29
880,180.00,173.29,2.87,60,6.71,1.12,-52.94
900,180.00,174.71,2.82,59,5.29,1.23,-70.59
920,180.00,176.12,2.77,58,3.88,1.31,-70.59
940,180.00,177.88,2.71,57,2.12,1.35,-88.24
960,180.00,179.65,0.00,0,0.35,1.35,-88.23
980,180.00,181.41,-2.56,54,-1.41,-0.03,-88.24
1000,180.00,182.12,-2.59,55,-2.12,-0.07,-35.30
1020,180.00,181.76,-2.58,54,-1.76,-0.11,17.65
1040,180.00,181.06,-2.55,54,-1.06,-0.13,35.29
1060,180.00,180.35,0.00,0,-0.35,-0.13,35.29
1080,180.00,179.65,0.00,0,0.35,0.00,35.29
1100,180.00,179.29,0.00,0,0.71,0.00,17.65
1120,180.00,178.94,0.04,0,1.06,0.02,17.65
1140,180.00,178.94,0.05,0,1.06,0.04,0.00
1160,180.00,178.94,0.05,1,1.06,0.06,0.00
1180,180.00,179.29,0.00,0,0.71,0.06,-17.65
1200,180.00,179.29,0.00,0,0.71,0.06,0.00
1220,180.00,179.29,0.00,0,0.71,0.06,0.00
1240,180.00,179.29,0.00,0,0.71,0.06,0.00
1260,180.00,179.29,0.00,0,0.71,0.06,0.00
1280,180.00,179.29,0.00,0,0.71,0.06,0.00
1300,180.00,179.29,0.00,0,0.71,0.06,0.00
1320,180.00,179.29,0.00,0,0.71,0.06,0.00
1340,180.00,179.29,0.00,0,0.71,0.06,0.00
1360,180.00,179.29,0.00,0,0.71,0.06,0.00
1380,180.00,179.29,0.00,0,0.71,0.06,0.00
1400,180.00,179.29,0.00,0,0.71,0.06,0.00
1420,180.00,179.29,0.00,0,0.71,0.06,0.00
1440,180.00,179.29,0.00,0,0.71,0.06,0.00
1460,180.00,179.29,0.00,0,0.71,0.06,0.00
1480,180.00,179.29,0.00,0,0.71,0.06,0.00
1500,180.00,179.29,0.00,0,0.71,0.06,0.00
1520,180.00,179.29,0.00,0,0.71,0.06,0.00
1540,180.00,179.29,0.00,0,0.71,0.06,0.00
1560,180.00,179.29,0.00,0,0.71,0.06,0.00
1580,180.00,179.29,0.00,0,0.71,0.06,0.00
1600,180.00,179.29,0.00,0,0.71,0.06,0.00
1620,180.00,179.29,0.00,0,0.71,0.06,0.00
1640,180.00,179.29,0.00,0,0.71,0.06,0.00
1660,180.00,179.29,0.00,0,0.71,0.06,0.00
1680,180.00,179.29,0.00,0,0.71,0.06,0.00
1700,180.00,179.29,0.00,0,0.71,0.06,0.00
1720,180.00,179.29,0.00,0,0.71,0.06,0.00
1740,180.00,179.29,0.00,0,0.71,0.06,0.00
1760,180.00,179.29,0.00,0,0.71,0.06,0.00
1780,180.00,179.29,0.00,0,0.71,0.06,0.00
