Time(ms),Setpoint,Angle,ControlVoltage,PWM,Error,Integral,Derivative
20,360.00,0.00,12.00,255,360.00,7.20,18000.00
40,360.00,4.59,12.00,255,355.41,14.31,-229.41
60,360.00,13.76,12.00,255,346.24,21.23,-458.82
80,360.00,25.76,12.00,255,334.24,27.92,-600.00
100,360.00,37.76,12.00,255,322.24,33.33,-600.00
120,360.00,51.18,12.00,255,308.82,33.33,-670.59
140,360.00,64.24,12.00,255,295.76,33.33,-652.94
160,360.00,78.00,12.00,255,282.00,33.33,-688.24
180,360.00,91.06,12.00,255,268.94,33.33,-652.94
200,360.00,104.82,12.00,255,255.18,33.33,-688.23
220,360.00,117.88,12.00,255,242.12,33.33,-652.94
240,360.00,132.00,12.00,255,228.00,33.33,-705.88
260,360.00,145.06,12.00,255,214.94,33.33,-652.94
280,360.00,158.82,12.00,255,201.18,33.33,-688.24
300,360.00,171.88,12.00,255,188.12,33.33,-652.94
320,360.00,186.00,12.00,255,174.00,33.33,-705.88
340,360.00,199.76,11.91,253,160.24,33.33,-688.24
360,360.00,212.82,11.39,241,147.18,33.33,-652.94
380,360.00,226.24,10.85,230,133.76,33.33,-670.59
400,360.00,238.94,10.34,219,121.06,33.33,-635.29
420,360.00,252.00,9.82,208,108.00,33.33,-652.94
440,360.00,264.35,9.33,198,95.65,33.33,-617.65
460,360.00,276.71,8.83,187,83.29,33.33,-617.65
480,360.00,288.35,8.37,177,71.65,33.33,-582.35
500,360.00,300.71,7.87,167,59.29,33.33,-617.65
520,360.00,312.00,7.42,157,48.00,33.33,-564.71
540,360.00,323.29,6.97,148,36.71,33.33,-564.71
560,360.00,334.24,6.53,138,25.76,33.33,-547.06
580,360.00,345.53,6.08,129,14.47,33.33,-564.71
600,360.00,355.76,5.67,120,4.24,33.33,-511.76
620,360.00,366.35,-2.77,58,-6.35,-0.13,-529.41
640,360.00,375.53,-3.16,67,-15.53,-0.44,-458.82
660,360.00,382.59,-3.48,74,-22.59,-0.89,-352.94
680,360.00,387.88,-3.75,79,-27.88,-1.45,-264.71
700,360.00,391.06,-3.93,83,-31.06,-2.07,-158.82
720,360.00,392.82,-4.06,86,-32.82,-2.72,-88.24
740,360.00,392.82,-4.12,87,-32.82,-3.38,0.00
760,360.00,391.76,-4.13,87,-31.76,-4.02,52.94
780,360.00,390.00,-4.12,87,-30.00,-4.62,88.23
800,360.00,387.53,-4.07,86,-27.53,-5.17,123.53
820,360.00,384.71,-4.00,84,-24.71,-5.66,141.18
840,360.00,381.18,-3.89,82,-21.18,-6.08,176.47
860,360.00,377.65,-3.79,80,-17.65,-6.44,176.47
880,360.00,373.76,-3.65,77,-13.76,-6.71,194.12
900,360.00,369.88,-3.52,74,-9.88,-6.91,194.12
920,360.00,365.65,-3.36,71,-5.65,-7.02,211.77
940,360.00,361.76,-3.21,68,-1.76,-7.06,194.12
960,360.00,357.18,2.62,55,2.82,0.06,229.41
980,360.00,353.65,2.77,58,6.35,0.18,176.47
1000,360.00,351.18,2.89,61,8.82,0.36,123.53
1020,360.00,349.76,2.96,62,10.24,0.56,70.59
1040,360.00,349.41,2.99,63,10.59,0.78,17.65
1060,360.00,349.76,3.00,63,10.24,0.98,-17.65
1080,360.00,350.47,2.99,63,9.53,1.17,-35.29
1100,360.00,351.53,2.96,62,8.47,1.34,-52.94
1120,360.00,352.94,2.92,61,7.06,1.48,-70.59
1140,360.00,354.71,2.85,60,5.29,1.59,-88.24
1160,360.00,356.47,2.79,59,3.53,1.66,-88.24
1180,360.00,358.59,2.71,57,1.41,1.69,-105.88
1200,360.00,360.35,0.00,0,-0.35,0.00,-88.24
1220,360.00,362.47,-2.60,55,-2.47,-0.05,-105.88
1240,360.00,363.18,-2.64,56,-3.18,-0.11,-35.29
1260,360.00,363.18,-2.64,56,-3.18,-0.18,0.00
1280,360.00,362.82,-2.63,55,-2.82,-0.23,17.65
1300,360.00,362.12,-2.61,55,-2.12,-0.28,35.29
1320,360.00,361.06,-2.57,54,-1.06,-0.30,52.94
1340,360.00,359.65,0.00,0,0.35,0.00,70.59
1360,360.00,358.59,2.56,54,1.41,0.03,52.94
1380,360.00,358.24,2.58,54,1.76,0.06,17.65
1400,360.00,358.59,2.56,54,1.41,0.09,-17.65
1420,360.00,359.29,0.00,0,0.71,0.09,-35.29
1440,360.00,359.65,0.00,0,0.35,0.09,-17.65
1460,360.00,360.00,0.00,0,0.00,0.09,-17.65
1480,360.00,360.00,0.00,0,0.00,0.09,0.00
1500,360.00,360.00,0.00,0,0.00,0.09,0.00
1520,360.00,360.00,0.00,0,0.00,0.09,0.00
1540,360.00,360.00,0.00,0,0.00,0.09,0.00
1560,360.00,360.00,0.00,0,0.00,0.09,0.00
1580,360.00,360.00,0.00,0,0.00,0.09,0.00
1600,360.00,360.00,0.00,0,0.00,0.09,0.00
1620,360.00,360.00,0.00,0,0.00,0.09,0.00
1640,360.00,360.00,0.00,0,0.00,0.09,0.00
1660,360.00,360.00,0.00,0,0.00,0.09,0.00
1680,360.00,360.00,0.00,0,0.00,0.09,0.00
1700,360.00,360.00,0.00,0,0.00,0.09,0.00
1720,360.00,360.00,0.00,0,0.00,0.09,0.00
1740,360.00,360.00,0.00,0,0.00,0.09,0.00
1760,360.00,360.00,0.00,0,0.00,0.09,0.00
1780,360.00,360.00,0.00,0,0.00,0.09,0.00
1800,360.00,360.00,0.00,0,0.00,0.09,0.00
1820,360.00,360.00,0.00,0,0.00,0.09,0.00
1840,360.00,360.00,0.00,0,0.00,0.09,0.00
1860,360.00,360.00,0.00,0,0.00,0.09,0.00
1880,360.00,360.00,0.00,0,0.00,0.09,0.00
1900,360.00,360.00,0.00,0,0.00,0.09,0.00
1920,360.00,360.00,0.00,0,0.00,0.09,0.00
1940,360.00,360.00,0.00,0,0.00,0.09,0.00
1960,360.00,360.00,0.00,0,0.00,0.09,0.00
1980,360.00,360.00,0.00,0,0.00,0.09,0.00
2000,360.00,360.00,0.00,0,0.00,0.09,0.00
2020,360.00,360.00,0.00,0,0.00,0.09,0.00
2040,360.00,360.00,0.00,0,0.00,0.09,0.00
2060,360.00,360.00,0.00,0,0.00,0.09,0.00
2080,360.00,360.00,0.00,0,0.00,0.09,0.00
2100,360.00,360.00,0.00,0,0.00,0.09,0.00
2120,360.00,360.00,0.00,0,0.00,0.09,0.00
2140,360.00,360.00,0.00,0,0.00,0.09,0.00
2160,360.00,360.00,0.00,0,0.00,0.09,0.00
2180,360.00,360.00,0.00,0,0.00,0.09,0.00
2200,360.00,360.00,0.00,0,0.00,0.09,0.00
2220,360.00,360.00,0.00,0,0.00,0.09,0.00
2240,360.00,360.00,0.00,0,0.00,0.09,0.00
2260,360.00,360.00,0.00,0,0.00,0.09,0.00
2280,360.00,360.00,0.00,0,0.00,0.09,0.00
2300,360.00,360.00,0.00,0,0.00,0.09,0.00
