Time(ms),Setpoint,Angle,ControlVoltage,PWM,Error,Integral,Derivative
20,180.00,0.00,7.52,159,180.00,3.60,9000.00
40,180.00,1.41,7.79,165,178.59,7.17,-70.59
60,180.00,4.59,7.98,169,175.41,10.68,-158.82
80,180.00,9.88,8.07,171,170.12,14.08,-264.71
100,180.00,16.24,8.11,172,163.76,17.36,-317.65
120,180.00,24.00,8.08,171,156.00,20.48,-388.24
140,180.00,32.12,8.02,170,147.88,23.44,-405.88
160,180.00,40.94,7.92,168,139.06,26.22,-441.18
180,180.00,49.76,7.80,165,130.24,28.82,-441.18
200,180.00,59.65,7.62,162,120.35,31.23,-494.12
220,180.00,69.18,7.43,157,110.82,33.33,-476.47
240,180.00,79.06,7.04,149,100.94,33.33,-494.12
260,180.00,88.94,6.64,141,91.06,33.33,-494.12
280,180.00,98.82,6.25,132,81.18,33.33,-494.12
300,180.00,108.35,5.87,124,71.65,33.33,-476.47
320,180.00,118.59,5.46,115,61.41,33.33,-511.76
340,180.00,128.12,5.08,107,51.88,33.33,-476.47
360,180.00,137.29,4.71,100,42.71,33.33,-458.82
380,180.00,146.82,4.33,91,33.18,33.33,-476.47
400,180.00,155.29,3.99,84,24.71,33.33,-423.53
420,180.00,164.12,3.64,77,15.88,33.33,-441.18
440,180.00,172.24,3.31,70,7.76,33.33,-405.88
460,180.00,180.35,0.00,0,-0.35,0.00,-405.88
480,180.00,186.00,-0.25,5,-6.00,-0.12,-282.35
500,180.00,190.24,-0.44,9,-10.24,-0.32,-211.76
520,180.00,193.41,-0.59,12,-13.41,-0.59,-158.82
540,180.00,196.59,-0.75,15,-16.59,-0.92,-158.82
560,180.00,199.06,-0.88,18,-19.06,-1.31,-123.53
580,180.00,201.18,-1.00,21,-21.18,-1.73,-105.88
600,180.00,202.94,-1.11,23,-22.94,-2.19,-88.23
620,180.00,204.00,-1.20,25,-24.00,-2.67,-52.94
640,180.00,204.71,-1.27,27,-24.71,-3.16,-35.29
660,180.00,204.71,-1.32,27,-24.71,-3.66,0.00
680,180.00,204.71,-1.36,28,-24.71,-4.15,0.00
700,180.00,204.35,-1.39,29,-24.35,-4.64,17.65
720,180.00,204.00,-1.42,30,-24.00,-5.12,17.65
740,180.00,204.00,-1.46,31,-24.00,-5.60,0.00
760,180.00,203.65,-1.49,31,-23.65,-6.07,17.65
780,180.00,203.29,-1.52,32,-23.29,-6.54,17.65
800,180.00,202.94,-1.55,32,-22.94,-7.00,17.65
820,180.00,202.94,-1.59,33,-22.94,-7.45,0.00
840,180.00,202.59,-1.62,34,-22.59,-7.91,17.65
860,180.00,202.59,-1.66,35,-22.59,-8.36,0.00
880,180.00,202.59,-1.70,36,-22.59,-8.81,0.00
900,180.00,202.59,-1.74,36,-22.59,-9.26,0.00
920,180.00,202.59,-1.78,37,-22.59,-9.71,0.00
940,180.00,202.59,-1.82,38,-22.59,-10.16,0.00
960,180.00,202.59,-1.86,39,-22.59,-10.62,0.00
980,180.00,202.59,-1.90,40,-22.59,-11.07,0.00
1000,180.00,202.59,-1.94,41,-22.59,-11.52,0.00
1020,180.00,202.59,-1.98,42,-22.59,-11.97,0.00
1040,180.00,202.59,-2.02,42,-22.59,-12.42,0.00
1060,180.00,202.59,-2.06,43,-22.59,-12.88,0.00
1080,180.00,202.59,-2.10,44,-22.59,-13.33,0.00
1100,180.00,202.59,-2.14,45,-22.59,-13.78,0.00
1120,180.00,202.59,-2.18,46,-22.59,-14.23,0.00
1140,180.00,202.59,-2.22,47,-22.59,-14.68,0.00
1160,180.00,202.59,-2.27,48,-22.59,-15.13,0.00
1180,180.00,202.59,-2.31,49,-22.59,-15.59,0.00
1200,180.00,202.59,-2.35,49,-22.59,-16.04,0.00
1220,180.00,202.59,-2.39,50,-22.59,-16.49,0.00
1240,180.00,202.59,-2.43,51,-22.59,-16.94,0.00
1260,180.00,202.59,-2.47,52,-22.59,-17.39,0.00
1280,180.00,202.59,-2.51,53,-22.59,-17.84,0.00
1300,180.00,202.59,-2.55,54,-22.59,-18.30,0.00
1320,180.00,202.59,-2.59,55,-22.59,-18.75,0.00
1340,180.00,202.59,-2.63,55,-22.59,-19.20,0.00
1360,180.00,202.59,-2.67,56,-22.59,-19.65,0.00
1380,180.00,202.59,-2.71,57,-22.59,-20.10,0.00
1400,180.00,202.59,-2.75,58,-22.59,-20.56,0.00
1420,180.00,202.59,-2.79,59,-22.59,-21.01,0.00
1440,180.00,202.59,-2.83,60,-22.59,-21.46,0.00
1460,180.00,202.59,-2.88,61,-22.59,-21.91,0.00
1480,180.00,202.59,-2.92,61,-22.59,-22.36,0.00
1500,180.00,201.88,-2.93,62,-21.88,-22.80,35.29
1520,180.00,200.82,-2.92,62,-20.82,-23.22,52.94
1540,180.00,199.76,-2.92,61,-19.76,-23.61,52.94
1560,180.00,198.00,-2.88,61,-18.00,-23.97,88.24
1580,180.00,196.24,-2.84,60,-16.24,-24.30,88.23
1600,180.00,194.47,-2.79,59,-14.47,-24.59,88.24
1620,180.00,192.35,-2.73,57,-12.35,-24.83,105.88
1640,180.00,190.24,-2.66,56,-10.24,-25.04,105.88
1660,180.00,187.76,-2.58,54,-7.76,-25.19,123.53
1680,180.00,185.65,-2.50,53,-5.65,-25.31,105.88
1700,180.00,183.18,-2.41,51,-3.18,-25.37,123.53
1720,180.00,181.06,-2.33,49,-1.06,-25.39,105.88
1740,180.00,178.59,0.06,1,1.41,0.03,123.53
1760,180.00,176.47,0.15,3,3.53,0.10,105.88
1780,180.00,174.71,0.23,4,5.29,0.20,88.24
1800,180.00,173.29,0.30,6,6.71,0.34,70.59
1820,180.00,172.24,0.36,7,7.76,0.49,52.94
1840,180.00,171.53,0.40,8,8.47,0.66,35.29
1860,180.00,171.18,0.43,9,8.82,0.84,17.65
1880,180.00,170.82,0.46,9,9.18,1.02,17.65
1900,180.00,170.82,0.48,10,9.18,1.21,0.00
1920,180.00,170.82,0.49,10,9.18,1.39,0.00
1940,180.00,170.82,0.51,10,9.18,1.57,0.00
1960,180.00,170.82,0.53,11,9.18,1.76,0.00
1980,180.00,170.82,0.54,11,9.18,1.94,0.00
2000,180.00,170.82,0.56,11,9.18,2.12,0.00
