Time(ms),Volt,RPM
50,0,0.00
100,0,0.00
150,0,0.00
200,0,0.00
250,0,0.00
300,0,0.00
350,0,0.00
400,0,0.00
450,0,0.00
500,0,0.00
550,0,0.00
600,0,0.00
650,0,0.00
700,0,0.00
750,0,0.00
800,0,0.00
850,0,0.00
900,0,0.00
950,0,0.00
1000,0,0.00
1050,0,0.00
1100,0,0.00
1150,0,0.00
1200,0,0.00
1250,0,0.00
1300,0,0.00
1350,0,0.00
1400,0,0.00
1451,0,0.00
1501,0,0.00
1551,0,0.00
1601,0,0.00
1651,0,0.00
1701,0,0.00
1751,0,0.00
1801,0,0.00
1851,0,0.00
1901,0,0.00
1951,0,0.00
2001,0,0.00
2051,5,63.53
2101,5,105.88
2151,5,112.94
2201,5,115.29
2251,5,112.94
2301,5,112.94
2351,5,112.94
2401,5,112.94
2451,5,112.94
2501,5,115.29
2551,5,112.94
2601,5,115.29
2651,5,110.59
2701,5,115.29
2751,5,112.94
2801,5,115.29
2851,5,112.94
2902,5,115.29
2952,5,112.94
3002,5,115.29
3052,5,112.94
3102,5,115.29
3152,5,112.94
3202,5,112.94
3252,5,112.94
3302,5,115.29
3352,5,115.29
3402,5,112.94
3452,5,115.29
3502,5,110.59
3552,5,115.29
3602,5,112.94
3652,5,115.29
3702,5,115.29
3752,5,112.94
3802,5,112.94
3852,5,112.94
3902,5,115.29
3952,5,115.29
4002,5,112.94
4052,0,105.88
4102,0,87.06
4152,0,72.94
4202,0,58.82
4252,0,47.06
4302,0,35.29
4352,0,25.88
4402,0,18.82
4452,0,9.41
4502,0,4.71
4552,0,2.35
4602,0,0.00
4652,0,0.00
4702,0,0.00
4752,0,0.00
4802,0,0.00
4852,0,0.00
4902,0,0.00
4952,0,0.00
5002,0,0.00
5052,0,0.00
5102,0,0.00
5152,0,0.00
5202,0,0.00
5252,0,0.00
5302,0,0.00
5352,0,0.00
5402,0,0.00
5452,0,0.00
5502,0,0.00
5552,0,0.00
5602,0,0.00
5652,0,0.00
5702,0,0.00
5752,0,0.00
5803,0,0.00
5853,0,0.00
5903,0,0.00
5953,0,0.00
6003,5,0.00
6053,5,65.88
6103,5,103.53
6153,5,112.94
6203,5,115.29
6253,5,112.94
6303,5,115.29
6353,5,112.94
6403,5,112.94
6453,5,112.94
6503,5,115.29
6553,5,112.94
6603,5,115.29
6653,5,115.29
6703,5,110.59
6753,5,115.29
6803,5,112.94
6853,5,115.29
6903,5,115.29
6953,5,112.94
7003,5,112.94
7053,5,115.29
7103,5,112.94
7153,5,115.29
7203,5,115.29
7254,5,112.94
7304,5,115.29
7354,5,115.29
7404,5,112.94
7454,5,115.29
7504,5,115.29
7554,5,110.59
7604,5,115.29
7654,5,115.29
7704,5,115.29
7754,5,112.94
7804,5,115.29
7854,5,112.94
7904,5,112.94
7954,5,115.29
8004,5,115.29
8054,0,105.88
8104,0,89.41
8154,0,72.94
8204,0,61.18
8254,0,47.06
8304,0,37.65
8354,0,28.24
8404,0,18.82
8454,0,11.76
8504,0,4.71
8554,0,0.00
8604,0,0.00
8654,0,0.00
8704,0,0.00
8754,0,0.00
8804,0,0.00
8854,0,0.00
8904,0,0.00
8954,0,0.00
9004,0,0.00
9054,0,0.00
9104,0,0.00
9154,0,0.00
9204,0,0.00
9254,0,0.00
9304,0,0.00
9354,0,0.00
9404,0,0.00
9454,0,0.00
9504,0,0.00
9554,0,0.00
9604,0,0.00
9654,0,0.00
9704,0,0.00
9754,0,0.00
9804,0,0.00
9854,0,0.00
9904,0,0.00
9954,0,0.00
10004,0,0.00
10054,5,65.88
10104,5,105.88
10155,5,112.94
10205,5,115.29
10255,5,112.94
10305,5,115.29
10355,5,112.94
10405,5,115.29
10455,5,110.59
10505,5,115.29
10555,5,112.94
10605,5,115.29
10655,5,115.29
10705,5,112.94
10755,5,112.94
10805,5,115.29
10855,5,112.94
10905,5,115.29
10955,5,112.94
11005,5,115.29
11055,5,112.94
11105,5,112.94
11155,5,115.29
11205,5,115.29
11255,5,112.94
11305,5,115.29
11355,5,112.94
11405,5,112.94
11455,5,115.29
11505,5,115.29
11555,5,112.94
11606,5,115.29
11656,5,115.29
11706,5,112.94
11756,5,115.29
11806,5,115.29
11856,5,115.29
11906,5,110.59
11956,5,115.29
12006,5,115.29
12056,0,105.88
12106,0,87.06
12156,0,75.29
12206,0,58.82
12256,0,47.06
12306,0,37.65
12356,0,28.24
12406,0,18.82
12456,0,9.41
12506,0,4.71
12556,0,2.35
12606,0,0.00
12656,0,0.00
12706,0,0.00
12756,0,0.00
12806,0,0.00
12856,0,0.00
12906,0,0.00
12956,0,0.00
13006,0,0.00
13056,0,0.00
13106,0,0.00
13156,0,0.00
13206,0,0.00
13256,0,0.00
13306,0,0.00
13356,0,0.00
13406,0,0.00
13456,0,0.00
13506,0,0.00
13556,0,0.00
13606,0,0.00
13656,0,0.00
13706,0,0.00
13756,0,0.00
13806,0,0.00
13856,0,0.00
13906,0,0.00
13956,0,0.00
14006,0,0.00
14056,5,63.53
14106,5,105.88
14156,5,115.29
14206,5,112.94
14256,5,112.94
14306,5,112.94
14356,5,115.29
14406,5,115.29
14456,5,112.94
14507,5,115.29
14557,5,115.29
14607,5,112.94
14657,5,115.29
14707,5,115.29
14757,5,112.94
14807,5,112.94
14857,5,115.29
14907,5,115.29
14957,5,112.94
15007,5,115.29
15057,5,115.29
15107,5,112.94
15157,5,112.94
15207,5,115.29
15257,5,115.29
15307,5,115.29
15357,5,112.94
15407,5,112.94
15457,5,115.29
15507,5,115.29
15557,5,112.94
15607,5,115.29
15657,5,115.29
15707,5,112.94
15757,5,115.29
15807,5,112.94
15857,5,115.29
15907,5,115.29
15958,5,115.29
16008,5,115.29
16058,0,105.88
16108,0,89.41
16158,0,75.29
16208,0,61.18
16258,0,49.41
16308,0,37.65
16358,0,30.59
16408,0,18.82
16458,0,14.12
16508,0,4.71
16558,0,2.35
16608,0,0.00
16658,0,0.00
16708,0,0.00
16758,0,0.00
16808,0,0.00
16858,0,0.00
16908,0,0.00
16958,0,0.00
17008,0,0.00
17058,0,0.00
17108,0,0.00
17158,0,0.00
17208,0,0.00
17258,0,0.00
17308,0,0.00
17358,0,0.00
17408,0,0.00
17458,0,0.00
17508,0,0.00
17558,0,0.00
17608,0,0.00
17658,0,0.00
17708,0,0.00
17758,0,0.00
17808,0,0.00
17858,0,0.00
17908,0,0.00
17958,0,0.00
18008,0,0.00
18058,5,65.88
18108,5,105.88
18158,5,115.29
18208,5,112.94
18258,5,115.29
18308,5,110.59
18358,5,115.29
18408,5,115.29
18458,5,112.94
18508,5,115.29
18558,5,115.29
18608,5,110.59
18658,5,115.29
18708,5,115.29
18758,5,115.29
18808,5,112.94
18859,5,115.29
18909,5,115.29
18959,5,112.94
19009,5,115.29
19059,5,115.29
19109,5,115.29
19159,5,112.94
19209,5,112.94
19259,5,115.29
19309,5,115.29
19359,5,115.29
