Time(ms),Volt,RPM
50,0,0.0
100,0,0.0
150,0,0.0
200,0,0.0
250,0,0.0
300,0,0.0
350,0,0.0
400,0,0.0
450,0,0.0
500,0,0.0
550,0,0.0
600,0,0.0
650,0,0.0
700,0,0.0
750,0,0.0
800,0,0.0
850,0,0.0
900,0,0.0
950,0,0.0
1000,0,0.0
1050,0,0.0
1100,0,0.0
1150,0,0.0
1200,0,0.0
1250,0,0.0
1300,0,0.0
1350,0,0.0
1400,0,0.0
1451,0,0.0
1501,0,0.0
1551,0,0.0
1601,0,0.0
1651,0,0.0
1701,0,0.0
1751,0,0.0
1801,0,0.0
1851,0,0.0
1901,0,0.0
1951,0,0.0
2001,0,0.0
2051,12,63.53
2101,12,105.88
2151,12,112.94
2201,12,115.29
2251,12,112.94
2301,12,112.94
2351,12,112.94
2401,12,112.94
2451,12,112.94
2501,12,115.29
2551,12,112.94
2601,12,115.29
2651,12,110.59
2701,12,115.29
2751,12,112.94
2801,12,115.29
2851,12,112.94
2902,12,115.29
2952,12,112.94
3002,12,115.29
3052,12,112.94
3102,12,115.29
3152,12,112.94
3202,12,112.94
3252,12,112.94
3302,12,115.29
3352,12,115.29
3402,12,112.94
3452,12,115.29
3502,12,110.59
3552,12,115.29
3602,12,112.94
3652,12,115.29
3702,12,115.29
3752,12,112.94
3802,12,112.94
3852,12,112.94
3902,12,115.29
3952,12,115.29
4002,12,112.94
4052,0,105.88
4102,0,87.06
4152,0,72.94
4202,0,58.82
4252,0,47.06
4302,0,35.29
4352,0,25.88
4402,0,18.82
4452,0,9.41
4502,0,4.71
4552,0,2.35
4602,0,0.0
4652,0,0.0
4702,0,0.0
4752,0,0.0
4802,0,0.0
4852,0,0.0
4902,0,0.0
4952,0,0.0
5002,0,0.0
5052,0,0.0
5102,0,0.0
5152,0,0.0
5202,0,0.0
5252,0,0.0
5302,0,0.0
5352,0,0.0
5402,0,0.0
5452,0,0.0
5502,0,0.0
5552,0,0.0
5602,0,0.0
5652,0,0.0
5702,0,0.0
5752,0,0.0
5803,0,0.0
5853,0,0.0
5903,0,0.0
5953,0,0.0
6003,12,0.0
6053,12,65.88
6103,12,103.53
6153,12,112.94
6203,12,115.29
6253,12,112.94
6303,12,115.29
6353,12,112.94
6403,12,112.94
6453,12,112.94
6503,12,115.29
6553,12,112.94
6603,12,115.29
6653,12,115.29
6703,12,110.59
6753,12,115.29
6803,12,112.94
6853,12,115.29
6903,12,115.29
6953,12,112.94
7003,12,112.94
7053,12,115.29
7103,12,112.94
7153,12,115.29
7203,12,115.29
7254,12,112.94
7304,12,115.29
7354,12,115.29
7404,12,112.94
7454,12,115.29
7504,12,115.29
7554,12,110.59
7604,12,115.29
7654,12,115.29
7704,12,115.29
7754,12,112.94
7804,12,115.29
7854,12,112.94
7904,12,112.94
7954,12,115.29
8004,12,115.29
8054,0,105.88
