Time(ms),RPM
50,65.88
100,110.59
150,115.29
200,115.29
250,117.65
300,115.29
350,115.29
400,117.65
450,117.65
500,117.65
550,115.29
600,115.29
650,117.65
700,117.65
750,115.29
800,117.65
850,117.65
900,112.94
950,117.65
1000,117.65
1050,117.65
1100,115.29
1150,117.65
1200,115.29
1250,117.65
1300,115.29
1350,117.65
1400,117.65
1451,117.65
1501,117.65
1551,115.29
1601,117.65
1651,117.65
1701,117.65
1751,112.94
1801,117.65
1851,117.65
1901,117.65
1951,115.29
2001,117.65
2051,115.29
2101,115.29
2151,117.65
2201,117.65
2251,117.65
2301,117.65
2351,112.94
2401,117.65
2451,117.65
2501,115.29
2551,117.65
2601,117.65
2651,115.29
2701,115.29
2751,117.65
2801,117.65
2851,117.65
2902,115.29
2952,117.65
3002,117.65
3052,117.65
3102,117.65
3152,115.29
3202,115.29
3252,117.65
3302,117.65
3352,115.29
3402,117.65
3452,117.65
3502,112.94
3552,117.65
3602,117.65
3652,117.65
3702,115.29
3752,117.65
3802,115.29
3852,117.65
3902,115.29
3952,117.65
4002,117.65
4052,117.65
4102,112.94
4152,117.65
4202,117.65
4252,117.65
4302,117.65
4352,112.94
4402,117.65
4452,117.65
4502,117.65
4552,115.29
4602,117.65
4652,115.29
4702,117.65
4752,117.65
4802,115.29
4852,117.65
4902,117.65
4952,115.29
5002,117.65
5052,115.29
5102,117.65
5152,117.65
5202,117.65
5252,115.29
5302,115.29
5352,117.65
5402,117.65
5452,117.65
5502,117.65
5552,112.94
5602,117.65
5652,117.65
5702,117.65
5752,117.65
5803,117.65
5853,115.29
5903,117.65
5953,117.65
6003,117.65
6053,117.65
6103,112.94
6153,117.65
6203,117.65
6253,117.65
6303,115.29
6353,117.65
6403,115.29
6453,117.65
6503,117.65
6553,115.29
6603,117.65
6653,117.65
6703,115.29
6753,115.29
6803,117.65
6853,117.65
6903,117.65
6953,117.65
7003,112.94
7053,117.65
7103,117.65
7153,117.65
7203,117.65
7254,117.65
7304,115.29
7354,117.65
7404,117.65
7454,117.65
7504,117.65
7554,112.94
7604,117.65
7654,117.65
7704,117.65
7754,117.65
7804,117.65
7854,112.94
7904,117.65
7954,117.65
8004,117.65
8054,117.65
8104,117.65
8154,112.94
8204,117.65
8254,117.65
8304,117.65
8354,117.65
8404,115.29
8454,115.29
8504,117.65
8554,117.65
8604,117.65
8654,117.65
8704,112.94
8754,117.65
8804,117.65
8854,117.65
8904,117.65
8954,117.65
9004,112.94
9054,117.65
9104,117.65
9154,117.65
9204,117.65
9254,117.65
9304,112.94
9354,117.65
9404,117.65
9454,117.65
9504,117.65
9554,115.29
9604,115.29
9654,117.65
9704,117.65
9754,117.65
9804,117.65
9854,115.29
9904,115.29
9954,117.65
10004,117.65
10054,115.29
10104,117.65
10155,117.65
10205,117.65
10255,117.65
10305,117.65
10355,115.29
10405,117.65
10455,115.29
10505,117.65
10555,117.65
10605,115.29
10655,117.65
10705,117.65
10755,115.29
10805,117.65
10855,115.29
10905,117.65
10955,117.65
11005,117.65
11055,115.29
11105,117.65
11155,115.29
11205,117.65
11255,117.65
11305,117.65
11355,115.29
11405,115.29
11455,117.65
11505,117.65
11555,117.65
11606,117.65
11656,117.65
11706,115.29
11756,117.65
11806,117.65
11856,117.65
11906,115.29
11956,115.29
12006,117.65
12056,117.65
12106,117.65
12156,117.65
12206,115.29
12256,117.65
12306,115.29
12356,117.65
12406,117.65
12456,117.65
12506,115.29
12556,117.65
12606,115.29
12656,117.65
12706,117.65
12756,117.65
12806,115.29
12856,117.65
12906,115.29
12956,117.65
13006,117.65
13056,115.29
13106,117.65
13156,117.65
13206,117.65
13256,115.29
13306,117.65
13356,115.29
13406,117.65
13456,117.65
13506,117.65
13556,117.65
13606,115.29
13656,115.29
13706,117.65
13756,117.65
13806,117.65
13856,117.65
13906,117.65
13956,112.94
14006,117.65
14056,117.65
14106,117.65
14156,117.65
14206,117.65
14256,112.94
14306,117.65
14356,117.65
14406,117.65
14456,117.65
14507,117.65
14557,117.65
14607,115.29
14657,117.65
14707,117.65
14757,117.65
14807,115.29
14857,117.65
14907,115.29
14957,117.65
15007,117.65
15057,117.65
15107,115.29
15157,117.65
15207,115.29
15257,117.65
15307,117.65
15357,117.65
15407,115.29
15457,117.65
15507,115.29
15557,117.65
15607,117.65
15657,117.65
15707,115.29
15757,117.65
15807,115.29
15857,117.65
15907,117.65
15958,117.65
16008,117.65
16058,117.65
16108,117.65
16158,115.29
16208,117.65
16258,115.29
16308,117.65
16358,117.65
16408,117.65
16458,115.29
16508,117.65
16558,115.29
16608,117.65
16658,117.65
16708,117.65
16758,117.65
16808,115.29
16858,115.29
16908,117.65
16958,117.65
17008,117.65
17058,117.65
17108,117.65
17158,112.94
17208,117.65
17258,117.65
17308,117.65
17358,117.65
17408,115.29
17458,117.65
17508,115.29
